# ran: examples/color_live.py
# NOTE: this is program OUTPUT; the source is in examples/color_live.py

# examples/color_live.py — stream BOTH colour sensors so surfaces can be compared live.
==========================================================================
COLOUR SENSORS -- LIVE. Hold each surface under sensor C and keep it still.
==========================================================================

  Surfaces that matter: floor | YELLOW note | BLUE tape | SILVER tape
  Watch the 'name' column and the r:g:b ratios, not the raw numbers.

   t(s)  P  color name      refl |   r    g    b    i | r%%   g%%   b%%
   31.6  D    -1 UNKNOWN      0 |    2    2    1    4 | 40.0 40.0 20.0
   31.9  C    -1 UNKNOWN      0 |    5    4    4    9 | 38.5 30.8 30.8
   31.9  D    -1 UNKNOWN      1 |   10    5    5   16 | 50.0 25.0 25.0
   32.1  C    -1 UNKNOWN      0 |    4    3    4    8 | 36.4 27.3 36.4
   32.1  D    -1 UNKNOWN      0 |    4    2    2    7 | 50.0 25.0 25.0
   32.4  C    -1 UNKNOWN      0 |    4    4    4    9 | 33.3 33.3 33.3
   32.4  D    -1 UNKNOWN      1 |   12    6    5   19 | 52.2 26.1 21.7
   32.6  C    -1 UNKNOWN      1 |    6    5    4   11 | 40.0 33.3 26.7
   32.6  D    -1 UNKNOWN      2 |   17   10    9   28 | 47.2 27.8 25.0
   32.9  C    -1 UNKNOWN      1 |    9    5    6   15 | 45.0 25.0 30.0
   32.9  D    -1 UNKNOWN      1 |    7    4    4   11 | 46.7 26.7 26.7
   33.1  C    -1 UNKNOWN      1 |   11    6    8   20 | 44.0 24.0 32.0
   33.1  D    -1 UNKNOWN      1 |   10    5    4   15 | 52.6 26.3 21.1
   33.4  C     9 RED          5 |   39   11   15   54 | 60.0 16.9 23.1
   33.4  D    -1 UNKNOWN      1 |    9    4    5   14 | 50.0 22.2 27.8
   33.6  C     9 RED          4 |   31   10   13   45 | 57.4 18.5 24.1
   33.6  D    -1 UNKNOWN      1 |    9    5    4   14 | 50.0 27.8 22.2
   33.9  C     9 RED          5 |   38   11   15   53 | 59.4 17.2 23.4
   33.9  D    -1 UNKNOWN      1 |   10    5    5   16 | 50.0 25.0 25.0
   34.1  C     9 RED         82 |  602  204  262  841 | 56.4 19.1 24.5
   34.1  D    -1 UNKNOWN      1 |    9    5    4   13 | 50.0 27.8 22.2
   34.4  C     9 RED         93 |  671  239  301  959 | 55.4 19.7 24.9
