# surface survey -- labelled colour-sensor captures
# SV,label,port,t_ms,color_code,color_name,reflection,r,g,b,i
# --- YELLOW_NOTE  10:04:40  (5 s) ---
SV,YELLOW_NOTE,C,12634,0,BLACK,29,122,136,138,297
SV,YELLOW_NOTE,D,12634,0,BLACK,24,99,114,121,250
SV,YELLOW_NOTE,C,12735,0,BLACK,29,122,136,140,297
SV,YELLOW_NOTE,D,12735,0,BLACK,25,104,118,126,261
SV,YELLOW_NOTE,C,12836,10,WHITE,33,141,154,159,340
SV,YELLOW_NOTE,D,12836,0,BLACK,25,104,121,130,264
SV,YELLOW_NOTE,C,12937,10,WHITE,37,162,174,176,385
SV,YELLOW_NOTE,D,12937,0,BLACK,26,106,125,135,271
SV,YELLOW_NOTE,C,13038,10,WHITE,36,157,169,172,375
SV,YELLOW_NOTE,D,13038,0,BLACK,26,106,125,135,271
SV,YELLOW_NOTE,C,13139,0,BLACK,31,136,148,151,325
SV,YELLOW_NOTE,D,13139,0,BLACK,23,96,113,121,244
SV,YELLOW_NOTE,C,13240,0,BLACK,31,132,145,148,318
SV,YELLOW_NOTE,D,13240,0,BLACK,23,97,113,121,245
SV,YELLOW_NOTE,C,13341,0,BLACK,30,130,142,148,315
SV,YELLOW_NOTE,D,13341,0,BLACK,24,99,114,123,250
SV,YELLOW_NOTE,C,13442,0,BLACK,30,131,144,148,317
SV,YELLOW_NOTE,D,13442,0,BLACK,24,98,114,123,248
SV,YELLOW_NOTE,C,13543,0,BLACK,30,131,142,148,315
SV,YELLOW_NOTE,D,13543,0,BLACK,23,96,111,121,244
SV,YELLOW_NOTE,C,13644,0,BLACK,30,129,142,146,312
SV,YELLOW_NOTE,D,13644,0,BLACK,24,100,115,124,253
SV,YELLOW_NOTE,C,13745,0,BLACK,31,131,145,148,318
